Key	English
Credits/AssociationKeywordsIndia	"In Association with PC FQA Studio
Keywords India"
Credits/AssociationLionbridge	"In Association with PC and Console FQA Studio
Lionbridge Games"
Credits/AssociationLionbridgeLQA	"In Association with PC and Console LQA Studio
Lionbridge Games"
Credits/AssociationLocalizeDirect	"In Association with PC LQA Studio
LocalizeDirect"
Credits/AssociationOhCreative	"In Association with Marketing Studio
OH Creative"
Credits/AssociationPiktiv	"In Association with Nintendo Switch 2 Porting Studio
Piktiv"
Credits/AssociationPlaytropic	"In Association with PC and Console FQA Studio
Playtropic Video Game Services"
Credits/AssociationTestify	"In Association with Testing Studio
Testify"
Credits/AudioAndMusic	Audio and Music
Credits/AudioDesigners	Audio/Sound Designers
Credits/CEO	CEO
Credits/COO	COO
Credits/ChiefAcquisitionsProductionOfficer	Chief Acquisitions & Production Officer
Credits/ChiefPortfolioOfficer	Chief Portfolio Officer
Credits/ChiefSalesOfficer	Chief Sales Officer
Credits/ChineseSimplifiedLQATester	Chinese (Simplified) LQA Tester
Credits/ChineseTraditionalLQATester	Chinese (Traditional) LQA Tester
Credits/CommunityManager	Community Manager
Credits/CommunityProgramsCoordinator	Community Programs Coordinator
Credits/CompatibilityTesting	Compatibility Testing
Credits/ComplianceEngineer	Compliance Engineer
Credits/ComplianceTestLead	Compliance Test Lead
Credits/ConsolePorting	Console Porting
Credits/CoreKeeper	Core Keeper
Credits/CoreSupporters	Core Supporters
Credits/CreativeDirector	Creative Director
Credits/CreativeLead	Creative Lead
Credits/CreativeProducer	Creative Producer
Credits/CustomerSupport	Customer Support
Credits/DevOps	DevOps
Credits/DevelopedBy	Developed by
Credits/DevelopmentDirector	Development Director
Credits/DigitalMarketingManager	Digital Marketing Manager
Credits/DigitalMarketingSpecialist	Digital Marketing Specialist
Credits/Director	Director
Credits/DirectorOfGames	Director of Games
Credits/Editors	Editors
Credits/EngineeringManager	Engineering Manager
Credits/EuropeanSpanishLQATester	European Spanish LQA Tester
Credits/FQATestAssociates	FQA Test Associates
Credits/FQATestLead	FQA Test Lead
Credits/FinanceAssistant	Finance Assistant
Credits/FinanceDirector	Finance Director
Credits/FinanceHRDirector	Finance and HR Director
Credits/FinanceTeam	Finance Team
Credits/FinancialController	Financial Controller
Credits/FormerCEO	Former CEO
Credits/FormerCOO	Former COO
Credits/FormerSalesAndContentAnalyst	Former Sales and Content Analyst
Credits/FrenchLQATester	French LQA Tester
Credits/GameDesign	Game design
Credits/GameDirector	Game Director
Credits/GameScout	Game Scout
Credits/GameplayAndDesign	Gameplay and Design
Credits/GameplayDesigners	Gameplay Designers
Credits/GameplayDirector	Gameplay Director
Credits/GameplayProgrammers	Gameplay Programmers
Credits/GermanLQATester	German LQA Tester
Credits/HeadGameScout	Head Game Scout
Credits/HeadOfDigitalCommerce	Head of Digital Commerce
Credits/HeadofProductMarketing	Head of Product Marketing
Credits/InfluencerManager	Influencer Manager
Credits/ItalianLQATester	Italian LQA Tester
Credits/JapaneseLQATester	Japanese LQA Tester
Credits/JuniorAccountManager	Junior Account Manager
Credits/KoreanLQATester	Korean LQA Tester
Credits/LQATestDirector	LQA Test Director
Credits/LQATestManager	LQA Test Manager
Credits/LQATesters	LQA Testers
Credits/LeadAnimator	Lead Animator
Credits/LeadAnimators	Lead Animators
Credits/LeadArtist	Lead Artist
Credits/LeadAssociateProducer	Lead Associate Producer
Credits/LeadComposer	Lead Composer
Credits/LeadGameplay	Lead Gameplay
Credits/LeadGameplayProgrammer	Lead Gameplay Programmer
Credits/LeadProducer	Lead Producer
Credits/LeadProducerLiveOps	Lead Producer (Live Ops)
Credits/LeadProgrammer	Lead Programmer
Credits/LeadRenderingProgrammer	Lead Rendering Programmer
Credits/LeadTechnicalProgrammer	Lead Technical Programmer
Credits/LevelDesigners	Level/World Designers
Credits/Localisation	Localisation
Credits/MarketingDirector	Marketing Director
Credits/MarketingMaterial	Marketing material
Credits/ModdingSupport	Modding Support
Credits/Music	Music
Credits/NarrativeAndPlot	Narrative and Plot
Credits/OperationsAssistantManager	Operations Assistant Manager
Credits/OperationsManager	Operations Manager
Credits/PCFQA	PC FQA
Credits/PCLQA	PC LQA
Credits/PCandConsoleFQA	PC and Console FQA
Credits/PCandConsoleQA	PC and Console QA
Credits/PRAndCommunications	PR and Communications
Credits/PartneredFireshine	"Partnered with Publisher
Fireshine Games"
Credits/PartneredUnity	Partnered with Unity Technologies
Credits/PlayFab	Portions of this program © 2023 Microsoft Azure PlayFab
Credits/PortingProgrammers	Porting Programmers
Credits/PortugueseBrazilianLQATester	Portuguese Brazilian LQA Tester
Credits/Producer	Producer
Credits/Producers	Producers
Credits/ProductManager	Product Manager
Credits/Production	Production
Credits/ProductionAssistant	Production Assistant
Credits/ProductionBabies	Production Babies
Credits/ProductionDirector	Production Director
Credits/ProductionSupport	Production Support
Credits/ProductionandCommunitySupport	Production and Community Support
Credits/Programmer	Programmer
Credits/Programming	Programming
Credits/ProgrammingConsultant	Programming Consultant
Credits/ProjectManager	Project Manager
Credits/PublishedBy	Published by
Credits/PublishingBusinessDevelopmentManager	Publishing Business Development Manager
Credits/QADirector	QA Director
Credits/QALeadandProjectSupport	QA Lead and Project Support
Credits/QATester	QA Tester
Credits/QAandCommunitySupport	QA and Community Support
Credits/QualityAssuranceCoordinator	Quality Assurance Coordinator
Credits/RecordingLead	Recording Lead
Credits/ReleaseManager	Release Manager
Credits/RenderingProgrammers	Rendering Programmers
Credits/RussianLQATester	Russian LQA Tester
Credits/SFX	SFX
Credits/SalesDirector	Sales Director
Credits/SalesManager	Sales Manager
Credits/SceneMakers	Scene Makers
Credits/SeniorAccountManager	Senior Account Manager
Credits/SeniorBrandManager	Senior Brand Manager
Credits/SeniorClientPartner	Senior Client Partner
Credits/SeniorFinanceAssistant	Senior Finance Assistant
Credits/SeniorGameScout	Senior Game Scout
Credits/SeniorGlobalTestManager	Senior Global Test Manager
Credits/SeniorLQATestLead	LQA Senior Test Lead
Credits/SeniorMarketingAndCommunicationsManager	Senior Marketing and Communications Manager
Credits/SeniorPRConsultant	Senior PR Consultant
Credits/SeniorProducer	Senior Producer
Credits/SeniorProductManager	Senior Product Manager
Credits/SeniorProgrammeManager	Senior Programme Manager
Credits/SeniorProjectManager	Senior Project Manager
Credits/SeniorQATester	Senior QA Tester
Credits/SeniorSalesManager	Senior Sales Manager
Credits/SeniorSoftwareEngineer	Senior Software Engineer
Credits/SeniorTestDirector	Senior Test Director
Credits/SeniorTestManager	Senior Test Manager
Credits/SeniorTesters	Senior Testers
Credits/SeventyOneConsulting	71 Consulting
Credits/SocialMediaAndCommunityManager	Social Media and Community Manager
Credits/SoftwareEngineer	Software Engineer
Credits/SpecialThanks	Special Thanks
Credits/Tech	Tech
Credits/TechnicalArtists	Technical Artists
Credits/TechnicalDirector	Technical Director
Credits/TechnicalLead	Technical Lead
Credits/TechnicalProgrammers	Technical Programmers
Credits/TestLeads	Test Leads
Credits/Testers	Testers
Credits/ThaiFont	Thai font
Credits/ThaiLQATester	Thai LQA Tester
Credits/ThanksForPlaying	Thanks for playing!
Credits/TrailerTeam	Trailer Team
Credits/UkrainianLQATester	Ukrainian LQA Tester
Credits/UserTesting	User testing
Credits/Writers	Writers
Credits/Writing	Writing
CreditsNames/ACE	ACE Agency
CreditsNames/AdamBajguz	Adam Bajguz
CreditsNames/AdamBogun	Adam Bogun
CreditsNames/AdamJarochowski	Adam Jarochowski
CreditsNames/AdonaiMason	Adonaí Mason
CreditsNames/AdrianPfaffenhausen	Adrian Pfaffenhausen
CreditsNames/AgataPisarczyk	Agata Pisarczyk
CreditsNames/Aharon	Aharon
CreditsNames/AleksyKaczmarzyk	Aleksy Kaczmarzyk
CreditsNames/AlenGazibegovic	Alen Gazibegovic
CreditsNames/AlexLewis	Alex Lewis
CreditsNames/AlexanderMa	Alexander Ma
CreditsNames/AlikBeckles	Alik Beckles
CreditsNames/AllaDouneva	Alla Douneva
CreditsNames/An7hen	An7hen
CreditsNames/AndersGullmarsvik	Anders Gullmarsvik
CreditsNames/AndisBerzins	Andis Bērziņš
CreditsNames/AndreasAckermann	Andreas Ackermann
CreditsNames/AndreeaSandu	Andreea Sandu
CreditsNames/AndrewGlass	Andrew Glass
CreditsNames/AndrewSaraev	Andrew Saraev
CreditsNames/AndyBrammal	Andy Brammal
CreditsNames/AnkeFormann	Anke Formann
CreditsNames/AnnaWeber	Anna Weber
CreditsNames/ArtemNevinchanyi	Artem Nevinchanyi
CreditsNames/Arvid	Arvid
CreditsNames/AtillaBertiz	Atilla Bertiz
CreditsNames/AudreyAnnDesrosiersDrainville	Audrey-Ann Desrosiers Drainville
CreditsNames/August	August
CreditsNames/AustinEdwards	Austin Edwards
CreditsNames/AxM	Ax M.
CreditsNames/Az011	Az011
CreditsNames/AzurDawn	AzurDawn
CreditsNames/BabygirlTess	BabygirlTess
CreditsNames/Beach	Beach
CreditsNames/BeckyStow	Becky Stow
CreditsNames/BettinaR	Bettina R.
CreditsNames/BoValdemar	Bo Valdemar Norgren
CreditsNames/BrandonCraigTurner	Brandon Craig-Turner
CreditsNames/BrianFoote	Brian Foote
CreditsNames/BridieDaniels	Bridie Daniels
CreditsNames/BugsyRabbit2004	BugsyRabbit2004
CreditsNames/Burgle	Burgle_Official
CreditsNames/CarlWilliamLindkvist	Carl-William Lindkvist
CreditsNames/CarriganTessSevedge	"Carrigan ""Tess"" Sevedge"
CreditsNames/CatrionaBarber	Catriona Barber
CreditsNames/Cedric	Cedric
CreditsNames/CedricSchmitt	Cedric Schmitt
CreditsNames/ChantelleLarmond	Chantelle Larmond
CreditsNames/CharlesFontaine	Charles Fontaine
CreditsNames/CharlotteKelly	Charlotte Kelly
CreditsNames/ChengbeierWu	Chengbeier Wu
CreditsNames/ChiaNingLu	Chia-ning Lu
CreditsNames/Chie	Chie
CreditsNames/ChipNoe	ChipNoe
CreditsNames/Chloryne	Chloryne
CreditsNames/ChoiYakChangMin	최약창민
CreditsNames/ChrisGlover	Chris Glover
CreditsNames/ChristaStewart	Christa Stewart
CreditsNames/ChristianMarkowicz	Christian Markowicz
CreditsNames/ChristophHeilmair	Christoph Heilmair
CreditsNames/ClaireMalette	Claire Malette
CreditsNames/CormacBrennan	Cormac Brennan
CreditsNames/CrystalLiuReeder	Crystal Liu Reeder
CreditsNames/CuthbertMuriro	Cuthbert Muriro
CreditsNames/DaisyTreloar	Daisy Treloar
CreditsNames/DakonTheMad	Dakon The Mad
CreditsNames/DamianDomach	Damian Domach
CreditsNames/DamianHinds	Damian Hinds
CreditsNames/DamianKennett	Damian Kennett
CreditsNames/DanJenkins	Dan Jenkins
CreditsNames/DanielCuevasSheu	Daniel Cuevas Sheu
CreditsNames/DanielDudek	Daniel Dudek
CreditsNames/DanielPereira	Daniel Pereira
CreditsNames/DanielSmagowski	Daniel Smagowski
CreditsNames/DanieldeKretser	Daniel de Kretser
CreditsNames/Daresiel	Daresiel
CreditsNames/DaveScammell	Dave Scammell
CreditsNames/DavidLindqvist	David Lindqvist
CreditsNames/DavidWalker	David Walker
CreditsNames/DavidWallsten	David Wallsten
CreditsNames/DavisHill	Davis Hill
CreditsNames/DawidMajchrzak	Dawid Majchrzak
CreditsNames/DawnDream	黎明踏梦
CreditsNames/DeanJones	Dean Jones
CreditsNames/DominikaMazurek	Dominika Mazurek
CreditsNames/DreamloopGames	Dreamloop Games
CreditsNames/Driad	Driad
CreditsNames/EetuHipponen	Eetu Hipponen
CreditsNames/ElsaLi	Elsa Li
CreditsNames/Enchae	Enchae
CreditsNames/Enzyme	Enzyme
CreditsNames/EricRanki	Eric Ranki
CreditsNames/EvgeniyaPrykaszczyk	Evgeniya Prykaszczyk
CreditsNames/ExplosiveAlan	Explosive Alan
CreditsNames/FaunaPup	FaunaPup
CreditsNames/FelixWestin	Felix Westin
CreditsNames/Fireshine	Fireshine Games
CreditsNames/FrancoisFortier	Francois Fortier
CreditsNames/FredericDussault	Frédéric Dussault
CreditsNames/FredrikPrantare	Fredrik Präntare
CreditsNames/FriendsAndFamily	Friends and Families
CreditsNames/GarryWilliams	Garry Williams
CreditsNames/Gingnia	깅니아
CreditsNames/GrzegorzKukawka	Grzegorz Kukawka
CreditsNames/GustavoBatista	Gustavo Batista
CreditsNames/HeewanShin	Heewan Shin
CreditsNames/HermanAppelgren	Herman Appelgren
CreditsNames/HortenseGambino	Hortense Gambino
CreditsNames/Huabun	Huabun
CreditsNames/IbrarGhias	Ibrar Ghias
CreditsNames/IliyasJorio	Iliyas Jorio
CreditsNames/ItipatTherdchitpaisarn	Itipat Therdchitpaisarn
CreditsNames/Ivfivasu	Ivfivasu
CreditsNames/JakubKubik	Jakub Kubik
CreditsNames/JakubKwiatek	Jakub Kwiatek
CreditsNames/JakubLoboda	Jakub Łoboda
CreditsNames/JakubTucholski	Jakub Tucholski
CreditsNames/JakubWojciechowski	Jakub Wojciechowski
CreditsNames/JamesCato	James Cato
CreditsNames/JamieFinch	Jamie Finch
CreditsNames/JaroslawGawedaScibior	Jarosław Gawęda-Ścibior
CreditsNames/JasonMan	Jason Man
CreditsNames/JasonRock	Jason Rock
CreditsNames/JasperTannerBarnes	Jasper Tanner-Barnes
CreditsNames/JenniferWeiher	Jennifer Weiher
CreditsNames/JeremyWong	Jeremy Wong
CreditsNames/JinnJezewska	Jinn Jeżewska
CreditsNames/JoeFazzino	Joe Fazzino
CreditsNames/JoeGoddardHowell	Joe Goddard-Howell
CreditsNames/JohannesAhlstrom	Johannes Ahlström
CreditsNames/JonathanGeer	Jonathan Geer
CreditsNames/JoniLappalainen	Joni Lappalainen
CreditsNames/Joor111	Joor111
CreditsNames/JoshuaForde	Joshua Forde
CreditsNames/JoshuaGarrity	Joshua Garrity
CreditsNames/JoshuaLowe	Joshua Lowe
CreditsNames/Jp3r	Jp3r
CreditsNames/JuanDavidRinconSaavedra	Juan David Rincon Saavedra
CreditsNames/JuliaSpinola	Julia Spinola
CreditsNames/JulianBird	Julian Bird
CreditsNames/JulianSeifertOlszewski	Julian Seifert-Olszewski
CreditsNames/JulianVoith	Julian Voith
CreditsNames/JuneeYu	Junee Yu
CreditsNames/KAPedersen	K.A. Pedersen
CreditsNames/KacperOrzechowski	Kacper Orzechowski
CreditsNames/Karillya	Karillya
CreditsNames/KatarzynaCeglinska	Katarzyna Ceglińska
CreditsNames/KatieClark	Katie Clark
CreditsNames/KeenanKnight	Keenan Knight
CreditsNames/KerrynFrean	Kerryn Frean
CreditsNames/KevinBarile	Kevin Barile
CreditsNames/KevinKjellen	Kevin Kjellén
CreditsNames/KeywordsIndia	Keywords India
CreditsNames/KimmoKaisla	Kimmo Kaisla
CreditsNames/KishmarSmith	Kishmar Smith
CreditsNames/Kittco36	Kittco36
CreditsNames/KobeMarshall	Kobe Marshall
CreditsNames/KristanWalcott	Kristan Walcott
CreditsNames/KristianSivonen	Kristian Sivonen
CreditsNames/KseniiaShurdumova	Kseniia Shurdumova
CreditsNames/LaertKaralliu	Laert Karalliu
CreditsNames/LauraPiest	Laura Piest
CreditsNames/LaurentBenskin	Laurent Benskin
CreditsNames/LauriKullas	Lauri Kullas
CreditsNames/LeeOni	Lee~ (Oni)
CreditsNames/LetTheBodyFall	LetTheBodyFall
CreditsNames/Lionbridge	Lionbridge Games
CreditsNames/LocalizeDirect	Localize Direct
CreditsNames/LoicDean	Loïc Déan
CreditsNames/LoveWessman	Love Wessman
CreditsNames/LukaszKrzystofik	Łukasz Krzysztofik
CreditsNames/LukaszSokalski	Łukasz Sokalski
CreditsNames/MaciejKierszka	Maciej Kierszka
CreditsNames/MaciejKolodziejczyk	Maciej Kołodziejczyk
CreditsNames/MaciejSienkiewicz	Maciej Sienkiewicz
CreditsNames/MalikSpringer	Malik Springer
